,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_num_class,param_objective,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,5.193039464950561,0.17384754267684274,0.04931564331054687,0.00570667684051369,0.5,0.01,3,100,3,multi:softprob,"{'colsample_bytree': 0.5, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'num_class': 3, 'objective': 'multi:softprob'}",0.6891282490548204,0.6952887366099558,0.6987588177378701,0.6907735782923755,0.7046934073724008,0.6957285578134845,0.005618902798211061,133
1,14.464625692367553,1.0449992981390819,0.08077740669250488,0.0027063721117425482,0.5,0.01,3,500,3,multi:softprob,"{'colsample_bytree': 0.5, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 500, 'num_class': 3, 'objective': 'multi:softprob'}",0.7483933246691872,0.7563907490548205,0.7586125393824826,0.7487861413043477,0.7647537492123503,0.7553873007246377,0.006190806683796155,125
2,24.569586086273194,0.9241269626595281,0.11535272598266602,0.0038779412785419137,0.5,0.01,3,1000,3,multi:softprob,"{'colsample_bytree': 0.5, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 1000, 'num_class': 3, 'objective': 'multi:softprob'}",0.7889629686515437,0.7952620195337113,0.7989127284183996,0.7921274535286704,0.8053153197857593,0.7961160979836169,0.005661321707546736,115
3,4.463647890090942,0.5384414111554979,0.06270327568054199,0.012726341033508757,0.5,0.01,5,100,3,multi:softprob,"{'colsample_bytree': 0.5, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'num_class': 3, 'objective': 'multi:softprob'}",0.750872774889729,0.7556773078134844,0.7603969636105861,0.7506938405797102,0.7633886735979836,0.7562059120982987,0.0050648135788277536,124
4,21.62883415222168,1.9169729634967858,0.10720601081848144,0.0022144188745010247,0.5,0.01,5,500,3,multi:softprob,"{'colsample_bytree': 0.5, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 500, 'num_class': 3, 'objective': 'multi:softprob'}",0.8149039303717706,0.8226013902016384,0.8260715776622559,0.8187368029300567,0.8303699944864524,0.8225367391304348,0.005414026918162111,107
5,43.96202387809753,0.8488646785555772,0.18191165924072267,0.004498981530859283,0.5,0.01,5,1000,3,multi:softprob,"{'colsample_bytree': 0.5, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 1000, 'num_class': 3, 'objective': 'multi:softprob'}",0.8495194470699433,0.8563745786074354,0.8566030088216761,0.853018304977946,0.8618851528040329,0.8554800984562068,0.004115228686393953,90
6,5.202383232116699,0.4276863507413216,0.054066705703735354,0.0014120361423516957,0.5,0.01,6,100,3,multi:softprob,"{'colsample_bytree': 0.5, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 100, 'num_class': 3, 'objective': 'multi:softprob'}",0.7790968848456207,0.7805814666036547,0.7889282333018274,0.7791705576559546,0.7924169856647763,0.7840388256143667,0.005552945455704137,121
7,26.39569501876831,2.2510693394777057,0.12980108261108397,0.007714789111233064,0.5,0.01,6,500,3,multi:softprob,"{'colsample_bytree': 0.5, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 500, 'num_class': 3, 'objective': 'multi:softprob'}",0.8373411389413988,0.841858345148078,0.847681706836799,0.8405401149968496,0.8513337389729049,0.8437510089792062,0.005058193951405931,96
8,52.33068633079529,3.89860823733364,0.23493828773498535,0.019189276982892373,0.5,0.01,6,1000,3,multi:softprob,"{'colsample_bytree': 0.5, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 1000, 'num_class': 3, 'objective': 'multi:softprob'}",0.8674024968494013,0.8696245628544425,0.8734946636735978,0.8688438523944549,0.8777949275362319,0.8714321006616258,0.003766793355494012,79
9,8.342368268966675,0.44221629639191185,0.0648651123046875,0.0023686110090733563,0.5,0.01,8,100,3,multi:softprob,"{'colsample_bytree': 0.5, 'learning_rate': 0.01, 'max_depth': 8, 'n_estimators': 100, 'num_class': 3, 'objective': 'multi:softprob'}",0.8195956088531821,0.8231421510712035,0.8310484089477,0.8218282293635791,0.8360661310649024,0.8263361058601134,0.00621024618637883,105
10,40.36080079078674,2.5307283885889906,0.19854516983032228,0.029768181615488946,0.5,0.01,8,500,3,multi:softprob,"{'colsample_bytree': 0.5, 'learning_rate': 0.01, 'max_depth': 8, 'n_estimators': 500, 'num_class': 3, 'objective': 'multi:softprob'}",0.8712106253938248,0.8735750827032135,0.8788842745746693,0.873270400126024,0.8827317344045369,0.8759344234404537,0.004239878181647216,70
11,73.79704260826111,5.064014567218482,0.40297894477844237,0.05219918185349882,0.5,0.01,8,1000,3,multi:softprob,"{'colsample_bytree': 0.5, 'learning_rate': 0.01, 'max_depth': 8, 'n_estimators': 1000, 'num_class': 3, 'objective': 'multi:softprob'}",0.8948882876496533,0.893684979521109,0.9004153788594832,0.8958330064587271,0.9027001378386895,0.8975043580655324,0.0034552876173763723,52
12,11.438887691497802,0.1384961903699145,0.07676434516906738,0.001322804212848455,0.5,0.01,10,100,3,multi:softprob,"{'colsample_bytree': 0.5, 'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 100, 'num_class': 3, 'objective': 'multi:softprob'}",0.8509854836168872,0.8538145439508508,0.8619914461247636,0.8533242202268431,0.8637687381852551,0.85677688642092,0.005105180647061232,88
